"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP1wt_rep1"	"IGF2BP1wt_rep2"	"IGF2BP1R167C_rep1"	"IGF2BP1R167C_rep2"	"IGF2BP1R167H_rep1"	"IGF2BP1R167H_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	1544921	1544929	"IGF2BP1R168C"	"-"	13.728	3.433333333	13.675	9.7125	4.333333333	2.272	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"CDS"
"chr1"	1564774	1564782	"IGF2BP1wt"	"-"	17.57	18.856	6.32	9.4775	1.36	6.618	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"CDS"
"chr1"	1785422	1785430	"IGF2BP1R168C,IGF2BP1wt"	"-"	17.12	36.58571429	13.32857143	20.72125	0	6.211666667	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1785526	1785535	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	19.71333333	13.956	4.41	14.11	11.90285714	3.796666667	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1785831	1785839	"IGF2BP1R168C"	"-"	0	9.52	10.276	10.416	0.5	7.935	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1786478	1786486	"IGF2BP1R168C"	"-"	6.426666667	16.46	11.85714286	20.2475	8	3.375	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1786850	1786858	"IGF2BP1R168C"	"-"	22.3	31.29666667	25.875	36.93166667	16.495	25.04375	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1789092	1789106	"IGF2BP1R168C,IGF2BP1wt"	"-"	13.872	14.068	9.565714286	13.288	5.666666667	1.956	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	1790530	1790542	"IGF2BP1R168C,IGF2BP1wt"	"-"	16.364	14.6	19.2575	10.22857143	0.7514285714	1.758333333	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	1806478	1806486	"IGF2BP1R168C"	"-"	0.81	2.87	12.66	18.88	2.6	0	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	2307082	2307094	"IGF2BP1R168C,IGF2BP1wt"	"+"	13.98	16.584	13.5	11.895	6.18	11.09	"ENSG00000157933.10"	"SKI"	"protein_coding"	"3UTR"
"chr1"	2308000	2308008	"IGF2BP1wt"	"+"	14.43	7.56	0	5.836666667	0	0.365	"ENSG00000157933.10"	"SKI"	"protein_coding"	"3UTR"
"chr1"	2395850	2395858	"IGF2BP1R168C,IGF2BP1R168H"	"+"	6.048	7.744	11.112	23.79428571	8.333333333	10.18	"ENSG00000157916.20"	"RER1"	"protein_coding"	"CDS"
"chr1"	2402259	2402267	"IGF2BP1R168C"	"+"	0	2.83	15.22285714	9.165714286	1.345714286	1.795714286	"ENSG00000157916.20"	"RER1"	"protein_coding"	"CDS"
"chr1"	3628881	3628889	"IGF2BP1R168H"	"+"	1.12	8.206666667	5.925	7.1975	8.045	7.646	"ENSG00000158109.15"	"TPRG1L"	"protein_coding"	"3UTR"
"chr1"	3629333	3629346	"IGF2BP1R168C,IGF2BP1wt"	"+"	14.18285714	13.56285714	12.76333333	20.28555556	8.666666667	5.443333333	"ENSG00000158109.15"	"TPRG1L"	"protein_coding"	"3UTR"
"chr1"	3780370	3780378	"IGF2BP1R168C"	"-"	5.58	3.06	6.02	6.1725	3.68	1.995	"ENSG00000130764.10"	"LRRC47"	"protein_coding"	"3UTR"
"chr1"	3794472	3794481	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	34.72	30.87	31.11	19.62	22	40.66	"ENSG00000130764.10"	"LRRC47"	"protein_coding"	"intron"
"chr1"	3834999	3835007	"IGF2BP1R168H"	"-"	4.68	10.848	1.556	3.855	4.333333333	4.514	"ENSG00000116198.14"	"CEP104"	"protein_coding"	"CDS"
"chr1"	6186200	6186210	"IGF2BP1R168C,IGF2BP1wt"	"-"	10.596	17.12	5.614285714	12.78333333	0	0.9416666667	"ENSG00000116251.11"	"RPL22"	"protein_coding"	"3UTR"
"chr1"	6186318	6186326	"IGF2BP1R168C"	"-"	4.732	1.765	4.728	15.714	0	3.473333333	"ENSG00000116251.11"	"RPL22"	"protein_coding"	"3UTR"
"chr1"	6224624	6224632	"IGF2BP1R168C"	"-"	13.44	12.74	14.28	17.985	5	3.745	"ENSG00000116237.16"	"ICMT"	"protein_coding"	"3UTR"
"chr1"	6225167	6225180	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	7.188571429	7.785714286	10.59428571	10.75428571	10.25666667	10.22625	"ENSG00000116237.16"	"ICMT"	"protein_coding"	"CDS"
"chr1"	6231995	6232003	"IGF2BP1R168C"	"-"	6.14	10.9	9.93	11.35	3.68	2.53	"ENSG00000116237.16"	"ICMT"	"protein_coding"	"CDS"
"chr1"	6549622	6549630	"IGF2BP1wt"	"-"	12.024	13.475	4.36	5.6725	1.59	6.961666667	"ENSG00000162408.11"	"NOL9"	"protein_coding"	"CDS"
"chr1"	6550423	6550431	"IGF2BP1R168C"	"-"	12.512	5.25	13.7	19.19	4.166666667	1.1525	"ENSG00000162408.11"	"NOL9"	"protein_coding"	"CDS"
"chr1"	6635676	6635684	"IGF2BP1wt"	"-"	9.425	7.443333333	2.348	3.884	3.385	4.484	"ENSG00000007923.16"	"DNAJC11"	"protein_coding"	"CDS"
"chr1"	6646804	6646812	"IGF2BP1wt"	"-"	8.4	7.186666667	5.1	3.815	4	2.14	"ENSG00000007923.16"	"DNAJC11"	"protein_coding"	"intron"
"chr1"	6648856	6648864	"IGF2BP1wt"	"-"	4.453333333	6.765	5.76	0	0.06	0	"ENSG00000007923.16"	"DNAJC11"	"protein_coding"	"intron"
"chr1"	7779673	7779681	"IGF2BP1R168C"	"+"	4.903333333	13.75666667	12.25	5.571428571	3.38	0.37	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7779720	7779736	"IGF2BP1R168C,IGF2BP1wt"	"+"	21.03142857	17.70857143	13.72	30.96416667	6.245714286	4.164	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7780642	7780650	"IGF2BP1wt"	"+"	10.488	13.225	3.71	9.62	1.026666667	10.945	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7780658	7780666	"IGF2BP1R168C"	"+"	8.38	13.644	9.76	12.876	5.93	12.695	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7780901	7780909	"IGF2BP1wt"	"+"	11.28	8.48	1.73	0.45	0	9.902	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7930342	7930350	"IGF2BP1wt"	"-"	19.57	31.944	25.9	49.35428571	46.16571429	48.36	"ENSG00000049249.9"	"TNFRSF9"	"protein_coding"	"intron"
"chr1"	7985098	7985106	"IGF2BP1wt"	"+"	18.69	19.57428571	5.43	20.06	3.905	10.742	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"3UTR"
"chr1"	7985130	7985138	"IGF2BP1R168H"	"+"	15.728	19.97	12.53	10.132	16.66666667	13.61666667	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"3UTR"
"chr1"	8011813	8011822	"IGF2BP1R168H,IGF2BP1wt"	"-"	22.22333333	21.672	2.844	21.164	8.976666667	16.605	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012119	8012127	"IGF2BP1R168C"	"-"	5.56	8.864	4.512	17.09428571	1.135	6.266	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012198	8012206	"IGF2BP1R168H"	"-"	1.233333333	5.364	0.295	9.8675	8.065	5.376	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012501	8012509	"IGF2BP1R168H"	"-"	62.252	47.835	44.59714286	58.85857714	24.35142857	15.86142857	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012798	8012806	"IGF2BP1wt"	"-"	22.98285714	38.63	22.0875	62.96125125	39	17.72571429	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8013254	8013270	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	10.66363636	30.98545455	32.66857143	33.73	13.24909091	13.50166667	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8013470	8013478	"IGF2BP1wt"	"-"	4.066666667	3.572	0.12	0	0.09	0.8766666667	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8013614	8013622	"IGF2BP1R168C"	"-"	13.584	2.244	10.14	20.875	2.54	0.6833333333	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014013	8014026	"IGF2BP1R168C,IGF2BP1wt"	"-"	9.755	20.79166667	18.50923077	41.13384615	9.976363636	18.61916667	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014119	8014127	"IGF2BP1R168C"	"-"	22.20666667	14.4	28.86	21.245	6.255	0.06	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014251	8014259	"IGF2BP1R168C"	"-"	0	10.17	4.13	9.303333333	10.536	9.304	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014336	8014344	"IGF2BP1wt"	"-"	9.693333333	5.952	1.455	0.3633333333	0.6666666667	1.8975	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8015348	8015358	"IGF2BP1R168C,IGF2BP1wt"	"-"	12.76571429	13.71666667	7.89	24.62166667	0	1.466666667	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8020232	8020240	"IGF2BP1R168H"	"-"	5.063333333	2.26	0.42	0.3375	4.963333333	5.256	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"intron"
"chr1"	8556500	8556510	"IGF2BP1R168C,IGF2BP1wt"	"-"	21.704	15.064	9.273333333	9.568	6.016	0.4625	"ENSG00000142599.19"	"RERE"	"protein_coding"	"CDS"
"chr1"	8861126	8861134	"IGF2BP1wt"	"-"	70.21714429	83.2525025	47.2125	58.18428429	13.6475	15.015	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"3UTR"
"chr1"	8861139	8861148	"IGF2BP1R168C,IGF2BP1R168H"	"-"	52.44444444	61.96	70.679995	67.39222	28.21333333	18.1925	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"3UTR"
"chr1"	8871134	8871142	"IGF2BP1wt"	"-"	11.74	10.508	4.32	4.265	0.885	3.065	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"intron"
"chr1"	8871728	8871736	"IGF2BP1R168C"	"-"	3.415	0.3666666667	5.933333333	7.444	6.036	8.492857143	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"intron"
"chr1"	8871900	8871908	"IGF2BP1R168H,IGF2BP1wt"	"-"	21.6325	24.53750125	13.6825	21.69750125	33.5175	50.83874625	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8874896	8874904	"IGF2BP1wt"	"-"	25.00666667	10.98285714	6.737142857	26.85857143	4.306666667	14.08571429	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	9582606	9582614	"IGF2BP1wt"	"+"	10.76	9.78	9.5	12.11857143	6.8	6.691666667	"ENSG00000171612.7"	"SLC25A33"	"protein_coding"	"3UTR"
"chr1"	9729240	9729248	"IGF2BP1R168C"	"-"	4.606666667	0	6.33	8.98	0	7.233333333	"ENSG00000171603.18"	"CLSTN1"	"protein_coding"	"3UTR"
"chr1"	9735475	9735483	"IGF2BP1wt"	"-"	15.255	11.8	3.48	9.233333333	3.795	6.08	"ENSG00000171603.18"	"CLSTN1"	"protein_coding"	"CDS"
"chr1"	9744426	9744434	"IGF2BP1R168C"	"-"	2.4	0.2866666667	5.22	5.263333333	11	4.7	"ENSG00000171603.18"	"CLSTN1"	"protein_coding"	"CDS"
"chr1"	9930345	9930353	"IGF2BP1R168C"	"-"	7.84	22.05	13.26	13.08	7.666666667	4.815	"ENSG00000162441.12"	"LZIC"	"protein_coding"	"3UTR"
"chr1"	10268241	10268249	"IGF2BP1wt"	"+"	6.97	3.426666667	0.42	0	1.09	0.73	"ENSG00000054523.18"	"KIF1B"	"protein_coding"	"CDS"
"chr1"	10403097	10403106	"IGF2BP1R168C,IGF2BP1R168H"	"+"	3.965714286	18.24571429	16.3125	26.835	12.58	9.068333333	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10418865	10418874	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"+"	65.53142857	62.15142857	95.06857286	43.93375	50.62666667	34.57166667	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10420080	10420090	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"+"	39.594	13.81142857	23.74285714	30.84714286	8.977142857	12.806	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	10420244	10420252	"IGF2BP1R168C"	"+"	4.896	3.61	14.895	26.572	3.77	6.583333333	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	10440364	10440372	"IGF2BP1wt"	"+"	9.146666667	10.78	3.57	1.09	3.5	2.14	"ENSG00000175279.22"	"CENPS"	"protein_coding"	"CDS"
"chr1"	10462532	10462540	"IGF2BP1R168H"	"-"	2.78	0	1.26	1.54	5.18	7.345	"ENSG00000160049.12"	"DFFA"	"protein_coding"	"3UTR"
"chr1"	11013867	11013875	"IGF2BP1R168H"	"+"	0.53	2.882857143	0	0	3.477142857	4.5325	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11016906	11016914	"IGF2BP1wt"	"+"	12.09333333	19.64	15.14666667	9.14	7.708	12.83666667	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11018765	11018773	"IGF2BP1R168H"	"+"	3.75	6.55	5.304	11.29333333	14.46666667	9.202	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11018782	11018790	"IGF2BP1wt"	"+"	9.453333333	14.98	8.115	17.28	8.142857143	3.945	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11018844	11018852	"IGF2BP1R168H"	"+"	9.68	2.686666667	3.372	20.91	6.333333333	14.138	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11022520	11022528	"IGF2BP1wt"	"+"	13.584	12.19666667	10.73333333	13.13	16.36	12.39	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11056650	11056660	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	13.508	11.32333333	14.016	18.01166667	17.472	13.30875	"ENSG00000116649.10"	"SRM"	"protein_coding"	"CDS"
"chr1"	11072122	11072130	"IGF2BP1R168C"	"-"	3.113333333	0.12	10.92	15.88333333	0	3.31	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11074270	11074278	"IGF2BP1R168C"	"-"	2.615	7.466666667	17.35	19.76166667	0.34	0.546	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11087529	11087537	"IGF2BP1R168C"	"-"	11.76	8.33	19.72	10.0825	11.85714286	9.095	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11087872	11087880	"IGF2BP1wt"	"-"	8.96	11.76	10.608	7.085	1	5.35	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11091036	11091044	"IGF2BP1wt"	"-"	4.46	7.47	0	6.99	2.68	0	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11152376	11152387	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"+"	14.52	23.76	33.12	24.88	12.36	26.46	"ENSG00000253086.1"	"RNU6-537P"	"snRNA"	"exon"
"chr1"	11908175	11908184	"IGF2BP1R168C,IGF2BP1wt"	"+"	277.1077467	668.8433567	557.6277933	674.0566544	546.6810978	442.1644022	"ENSG00000199347.1"	"RNU5E-1"	"snRNA"	"exon"
"chr1"	11908216	11908224	"IGF2BP1R168H"	"+"	744.05005	541.1002213	1591.075195	904.5501713	2823.575196	3816.925537	"ENSG00000199347.1"	"RNU5E-1"	"snRNA"	"exon"
"chr1"	11908238	11908246	"IGF2BP1R168C"	"+"	2056.293822	1666.58374	2130.868774	1565.128661	2559.256226	3123.131224	"ENSG00000199347.1"	"RNU5E-1"	"snRNA"	"exon"
"chr1"	11909877	11909885	"IGF2BP1R168H"	"-"	247.0837475	253.348755	231.6337538	302.6700062	158.1887512	121.4125025	"ENSG00000201801.1"	"RNU5E-4P"	"snRNA"	"exon"
"chr1"	11919940	11919948	"IGF2BP1wt"	"-"	7.28	7.644	1.53	5.086666667	2	1.284	"ENSG00000116685.16"	"KIAA2013"	"protein_coding"	"3UTR"
"chr1"	11923454	11923462	"IGF2BP1wt"	"-"	14.348	15.27	2.055	8.95	0.868	3.9425	"ENSG00000116685.16"	"KIAA2013"	"protein_coding"	"CDS"
"chr1"	11954836	11954844	"IGF2BP1wt"	"+"	6.736	5.176666667	7.733333333	9.863333333	1.953333333	0.824	"ENSG00000083444.17"	"PLOD1"	"protein_coding"	"CDS"
"chr1"	11974677	11974685	"IGF2BP1R168C"	"+"	0.83	2.446666667	6.48	4.3775	0	5.513333333	"ENSG00000083444.17"	"PLOD1"	"protein_coding"	"CDS"
"chr1"	11974827	11974835	"IGF2BP1R168C"	"+"	3.104	5.415	3.6	14.42	0.12	1.623333333	"ENSG00000083444.17"	"PLOD1"	"protein_coding"	"3UTR"
"chr1"	12009654	12009662	"IGF2BP1R168C"	"+"	10.34857143	0.292	8.506666667	5.945	5.18	0.675	"ENSG00000116688.18"	"MFN2"	"protein_coding"	"CDS"
"chr1"	12568382	12568390	"IGF2BP1wt"	"-"	6.275	4.456	1.824	0.7225	1.18	4.7675	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"CDS"
"chr1"	12613300	12613308	"IGF2BP1R168H"	"-"	1.12	6.246666667	5.6	6.22	7.636	7.685	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"intron"
"chr1"	12617672	12617681	"IGF2BP1R168C,IGF2BP1R168H"	"-"	14.56	13.06666667	6.12	12.208	9.333333333	16.906	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"5UTR"
"chr1"	15571897	15571905	"IGF2BP1wt"	"-"	12.61714286	8.677142857	9.06	17.40125	9.475	4.443333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"3UTR"
"chr1"	15573471	15573482	"IGF2BP1R168C,IGF2BP1wt"	"-"	21.02857143	20.52	21.19090909	17.95875	14.32	8.243	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"3UTR"
"chr1"	15583194	15583202	"IGF2BP1wt"	"-"	29.76333333	14.84285714	11.70285714	6.48	7.616666667	7.923333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"CDS"
"chr1"	15583255	15583263	"IGF2BP1R168C"	"-"	20.01714286	14.46333333	12.20571429	15.24333333	14.71428571	0.06333333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"CDS"
"chr1"	15638322	15638330	"IGF2BP1R168C"	"+"	14	5.04	9.63	12.49333333	10	3.12	"ENSG00000197312.12"	"DDI2"	"protein_coding"	"CDS"
"chr1"	15660391	15660399	"IGF2BP1R168C"	"+"	10.632	3.855	6.86	15.49333333	3.24	12.348	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15661275	15661283	"IGF2BP1wt"	"+"	15.12	20.74333333	10.71	11.99	6.75	4.636666667	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15661447	15661455	"IGF2BP1R168C"	"+"	2.8	7.35	10.71	14.715	7	4.815	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15663490	15663498	"IGF2BP1R168H"	"+"	0	10.36	1.69	0	9.744	11.5975	"ENSG00000197312.12"	"DDI2"	"protein_coding"	"3UTR"
"chr1"	15665458	15665466	"IGF2BP1R168C"	"+"	1.646666667	0.4466666667	4.755	7.653333333	0.635	0.2925	"ENSG00000197312.12"	"DDI2"	"protein_coding"	"3UTR"
"chr1"	15667746	15667754	"IGF2BP1wt"	"+"	6.14	9.266666667	1.416	10.26	4.68	8.415	"ENSG00000197312.12"	"DDI2"	"protein_coding"	"3UTR"
"chr1"	15929726	15929734	"IGF2BP1R168C"	"+"	2.76	1.71	6.6	4.715	2.56	0	"ENSG00000065526.12"	"SPEN"	"protein_coding"	"CDS"
"chr1"	16131764	16131772	"IGF2BP1R168H"	"-"	8.776	2.89	5.153333333	7.053333333	7.25	6.788	"ENSG00000142627.13"	"EPHA2"	"protein_coding"	"CDS"
"chr1"	16133869	16133877	"IGF2BP1wt"	"-"	3.526666667	4.04	0.12	2.63	1.846666667	0.195	"ENSG00000142627.13"	"EPHA2"	"protein_coding"	"CDS"
"chr1"	16740640	16740648	"IGF2BP1R168H,IGF2BP1wt"	"+"	111.6262488	97.0837475	85.3812475	100.3062512	81.22125	93.94874875	"ENSG00000207389.1"	"RNU1-4"	"snRNA"	"exon"
"chr1"	16860238	16860246	"IGF2BP1R168C"	"+"	3.92	12.005	14.79	9.156	6.666666667	9.3625	"ENSG00000058453.17"	"CROCC"	"protein_coding"	"intron"
"chr1"	17022632	17022640	"IGF2BP1R168C"	"-"	11.17333333	3.466666667	4.38	11.31833333	4.573333333	2.19	"ENSG00000117118.10"	"SDHB"	"protein_coding"	"CDS"
"chr1"	17028710	17028718	"IGF2BP1wt"	"-"	6.7475	6.64	10.995	0.976	8.723333333	1.233333333	"ENSG00000117118.10"	"SDHB"	"protein_coding"	"CDS"
"chr1"	18872098	18872106	"IGF2BP1R168C"	"-"	1.1	14.33	5.85	7.353333333	0.09	4.67	"ENSG00000159423.17"	"ALDH4A1"	"protein_coding"	"3UTR"
"chr1"	19084517	19084526	"IGF2BP1R168C,IGF2BP1wt"	"-"	10.91666667	15.69714286	14.85	25.455	1.59	6.08	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19088846	19088854	"IGF2BP1wt"	"-"	8.786666667	5.054285714	1.493333333	6.462	0	2.8625	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19095584	19095592	"IGF2BP1R168C"	"-"	4.765	17.195	12.015	26.732	1.352	10.2925	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19104204	19104212	"IGF2BP1R168C"	"-"	2.78	0.196	4.068	4.592	7.983333333	3.43	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19114056	19114066	"IGF2BP1R168C,IGF2BP1wt"	"-"	8.126666667	11.628	5.04	6.637142857	8.317142857	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19117321	19117329	"IGF2BP1R168H"	"-"	7.465714286	1.13	2.783333333	2.774	5.362857143	6.725	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19118890	19118898	"IGF2BP1wt"	"-"	15.74	7.96	6.36	15.928	9.58	17.7775	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19120250	19120258	"IGF2BP1R168H"	"-"	2.766666667	12.10571429	6.03	13.454	6.33	3.39	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19124606	19124614	"IGF2BP1wt"	"-"	13.59333333	13.74	7.98	12.364	0.045	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19129028	19129036	"IGF2BP1R168C"	"-"	10.47333333	0.3	7.83	8.805	1.34	0.14	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19151747	19151755	"IGF2BP1R168C"	"-"	1.64	2.69	4.764	6.35	0	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19152432	19152442	"IGF2BP1R168C,IGF2BP1wt"	"-"	25.108	13.55142857	12.75428571	24.55166667	1.48	6.213333333	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19155547	19155555	"IGF2BP1wt"	"-"	7.608	6.9	1.02	5.236666667	0.5	1.8	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19161084	19161092	"IGF2BP1R168C"	"-"	7.36	0.39	10.57	10.71	0	6.406666667	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19161849	19161860	"IGF2BP1R168H,IGF2BP1wt"	"-"	43.28	43.1225	22.56	55.258	27.33333333	24.495	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19169483	19169491	"IGF2BP1wt"	"-"	6.7	11.88	2.79	6.626666667	6.18	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
